@RELATION LNCRNAsequence

@ATTRIBUTE	1	NUMERIC
@ATTRIBUTE	2	NUMERIC
@ATTRIBUTE	3	NUMERIC
@ATTRIBUTE	4	NUMERIC
@ATTRIBUTE	5	NUMERIC
@ATTRIBUTE class {+1,0.5}

@DATA
71.999821,21.360000,-0.810000,26.370370,1.082194,0.5
71.999821,21.330000,-0.840000,25.392857,1.080674,0.5
71.999821,21.570000,-0.870000,24.793103,1.092834,0.5
70.999824,21.480000,-0.900000,23.866667,1.103602,0.5
70.999824,21.420000,-0.900000,23.800000,1.100519,0.5
70.999824,21.270000,-0.930000,22.870968,1.092813,0.5
69.999825,21.210000,-0.930000,22.806452,1.105297,0.5
69.999825,21.120000,-0.990000,21.333333,1.100607,0.5
69.999825,21.090000,-0.990000,21.303030,1.099044,0.5
67.999831,20.940000,-1.020000,20.529412,1.123322,0.5
67.999831,20.880000,-1.020000,20.470588,1.120103,0.5
67.999831,20.760000,-1.050000,19.771429,1.113666,0.5
67.999831,20.670000,-1.050000,19.685714,1.108838,0.5
65.999836,20.550000,-1.080000,19.027778,1.135807,0.5
65.999836,20.490000,-1.080000,18.972222,1.132490,0.5
65.999836,20.310000,-1.020000,19.911765,1.122542,0.5
64.999838,20.250000,-1.020000,19.852941,1.136444,0.5
60.999849,18.810000,-2.010000,9.358209,1.124852,0.5
60.999849,18.480000,-2.160000,8.555556,1.105118,0.5
58.999853,18.330000,-2.160000,8.486111,1.133306,0.5
58.999853,18.030000,-2.340000,7.705128,1.114757,0.5
58.999853,17.850000,-2.430000,7.345679,1.103628,0.5
58.999853,17.520000,-2.580000,6.790698,1.083225,0.5
56.999858,17.130000,-2.670000,6.415730,1.096274,0.5
56.999858,16.920000,-2.760000,6.130435,1.082834,0.5
56.999858,16.710000,-2.820000,5.925532,1.069395,0.5
54.999864,16.290000,-2.970000,5.484848,1.080426,0.5
54.999864,16.080000,-3.030000,5.306931,1.066498,0.5
54.999864,15.630000,-3.180000,4.915094,1.036652,0.5
52.999868,15.210000,-3.300000,4.609091,1.046863,0.5
52.999868,15.000000,-3.360000,4.464286,1.032409,0.5
52.999868,14.580000,-3.480000,4.189655,1.003502,0.5
52.999868,14.340000,-3.510000,4.085470,0.986983,0.5
50.999874,13.860000,-3.720000,3.725806,0.991356,0.5
50.999874,13.650000,-3.780000,3.611111,0.976335,0.5
50.999874,13.140000,-3.900000,3.369231,0.939857,0.5
48.999878,12.900000,-3.960000,3.257576,0.960351,0.5
48.999878,12.360000,-4.080000,3.029412,0.920151,0.5
48.999878,12.090000,-4.140000,2.920290,0.900050,0.5
46.999883,11.550000,-4.260000,2.711268,0.896439,0.5
46.999883,11.280000,-4.320000,2.611111,0.875483,0.5
27.999930,35.730000,-7.560000,4.726190,4.654913,+1
27.999930,36.000000,-7.290000,4.938272,4.690088,+1
27.999930,35.850000,-6.840000,5.241228,4.670546,+1
22.999942,35.280000,-6.570000,5.369863,5.595479,+1
22.999942,35.130000,-6.090000,5.768473,5.571689,+1
22.999942,34.740000,-6.000000,5.790000,5.509834,+1
19.999951,34.380000,-5.520000,6.228261,6.270648,+1
19.999951,34.530000,-5.310000,6.502825,6.298007,+1
19.999951,33.660000,-4.980000,6.759036,6.139325,+1
17.999955,33.630000,-4.710000,7.140127,6.815393,+1
17.999955,33.330000,-4.590000,7.261438,6.754596,+1
17.999955,32.550000,-4.530000,7.185430,6.596523,+1
17.999955,32.250000,-4.440000,7.263514,6.535725,+1
16.999957,31.680000,-4.230000,7.489362,6.797869,+1
16.999957,31.710000,-4.470000,7.093960,6.804307,+1
16.999957,31.140000,-4.290000,7.258741,6.681996,+1
17.999955,30.870000,-4.200000,7.350000,6.256057,+1
17.999955,30.300000,-4.440000,6.824324,6.140542,+1
17.999955,30.000000,-4.380000,6.849315,6.079744,+1
16.999957,29.430000,-4.530000,6.496689,6.315066,+1
3.999990,1.950000,-0.330000,5.909091,1.778325,0.5
3.999990,1.890000,-0.390000,4.846154,1.723607,0.5
3.999990,1.860000,-0.420000,4.428571,1.696248,0.5
3.999990,1.920000,-0.390000,4.923077,1.750966,0.5
4.999988,1.890000,-0.420000,4.500000,1.378886,0.5
4.999988,1.920000,-0.390000,4.923077,1.400773,0.5
4.999988,1.920000,-0.390000,4.923077,1.400773,0.5
4.999988,1.920000,-0.330000,5.818182,1.400773,0.5
4.999988,1.920000,-0.330000,5.818182,1.400773,0.5
4.999988,1.920000,-0.330000,5.818182,1.400773,0.5
4.999988,1.890000,-0.330000,5.727273,1.378886,0.5
4.999988,1.890000,-0.330000,5.727273,1.378886,0.5
4.999988,1.890000,-0.330000,5.727273,1.378886,0.5
4.999988,1.860000,-0.330000,5.636364,1.356999,0.5
4.999988,1.890000,-0.330000,5.727273,1.378886,0.5
4.999988,1.920000,-0.330000,5.818182,1.400773,0.5
4.999988,1.920000,-0.240000,8.000000,1.400773,0.5
6.999982,1.920000,-0.240000,8.000000,1.000552,0.5
6.999982,1.890000,-0.150000,12.600000,0.984919,0.5
6.999982,1.860000,-0.120000,15.500000,0.969285,0.5
6.999982,1.830000,-0.060000,30.500000,0.953651,0.5
6.999982,1.740000,-0.060000,29.000000,0.906750,0.5
6.999982,1.680000,0.030000,-56.000000,0.875483,0.5
6.999982,1.680000,0.030000,-56.000000,0.875483,0.5
6.999982,1.740000,0.060000,-29.000000,0.906750,0.5
4.999988,1.770000,0.090000,-19.666667,1.291338,0.5
4.999988,1.800000,0.090000,-20.000000,1.313225,0.5
4.999988,1.830000,0.090000,-20.333333,1.335112,0.5
4.999988,1.860000,0.150000,-12.400000,1.356999,0.5
5.999985,1.860000,0.180000,-10.333333,1.130832,0.5
5.999985,1.920000,0.180000,-10.666667,1.167311,0.5
5.999985,1.920000,0.180000,-10.666667,1.167311,0.5
5.999985,1.950000,0.180000,-10.833333,1.185550,0.5
4.999988,1.980000,0.180000,-11.000000,1.444547,0.5
4.999988,2.010000,0.180000,-11.166667,1.466434,0.5
4.999988,2.070000,0.180000,-11.500000,1.510208,0.5
4.999988,2.070000,0.180000,-11.500000,1.510208,0.5
4.999988,2.130000,0.180000,-11.833333,1.553983,0.5
4.999988,2.130000,0.180000,-11.833333,1.553983,0.5
4.999988,2.190000,0.180000,-12.166667,1.597757,0.5
4.999988,2.190000,0.180000,-12.166667,1.597757,0.5
5.999985,2.250000,0.180000,-12.500000,1.367942,0.5
5.999985,2.250000,0.180000,-12.500000,1.367942,0.5
