@RELATION LNCRNAsequence

@ATTRIBUTE	1	NUMERIC
@ATTRIBUTE	2	NUMERIC
@ATTRIBUTE	3	NUMERIC
@ATTRIBUTE	4	NUMERIC
@ATTRIBUTE	5	NUMERIC
@ATTRIBUTE	6	NUMERIC
@ATTRIBUTE	7	NUMERIC
@ATTRIBUTE	8	NUMERIC
@ATTRIBUTE	9	NUMERIC
@ATTRIBUTE	10	NUMERIC
@ATTRIBUTE class {+1,0.5}

@DATA
67.999831,34.920000,-0.360000,97.000000,1.873276,14.947916,39.702121,28.789200,4.760000,7.825000,0.5
67.999831,34.530000,-0.390000,88.538462,1.852355,14.999344,39.860811,28.881769,4.640000,7.705000,0.5
68.999828,34.950000,-0.420000,83.214286,1.847714,15.313248,40.608133,29.326967,4.520000,7.721250,0.5
68.999828,35.130000,-0.420000,83.642857,1.857230,15.313248,40.608133,29.326967,4.520000,7.721250,0.5
68.999828,36.000000,-0.420000,85.714286,1.903224,15.313248,40.608133,29.326967,4.520000,7.721250,0.5
68.999828,35.880000,-0.390000,92.000000,1.896880,15.260892,40.447319,29.233158,4.640000,7.841250,0.5
68.999828,34.830000,-0.420000,82.928571,1.841369,15.313248,40.608133,29.326967,4.520000,7.721250,0.5
68.999828,35.610000,-0.420000,84.785714,1.882606,15.313248,40.608133,29.326967,4.520000,7.721250,0.5
68.999828,35.340000,-0.420000,84.142857,1.868332,15.313248,40.608133,29.326967,4.520000,7.721250,0.5
68.999828,35.370000,-0.390000,90.692308,1.869918,15.260892,40.447319,29.233158,4.640000,7.841250,0.5
68.999828,36.360000,-0.390000,93.230769,1.922256,15.260892,40.447319,29.233158,4.640000,7.841250,0.5
68.999828,35.910000,-0.390000,92.076923,1.898466,15.260892,40.447319,29.233158,4.640000,7.841250,0.5
68.999828,36.510000,-0.360000,101.416667,1.930187,15.208423,40.286247,29.139200,4.760000,7.961250,0.5
68.999828,36.930000,-0.360000,102.583333,1.952391,15.208423,40.286247,29.139200,4.760000,7.961250,0.5
68.999828,37.440000,-0.360000,104.000000,1.979353,15.208423,40.286247,29.139200,4.760000,7.961250,0.5
68.999828,38.310000,-0.360000,106.416667,2.025348,15.208423,40.286247,29.139200,4.760000,7.961250,0.5
68.999828,38.550000,-0.360000,107.083333,2.038036,15.208423,40.286247,29.139200,4.760000,7.961250,0.5
68.999828,38.790000,-0.330000,117.545455,2.050724,15.155842,40.124919,29.045092,4.880000,8.081250,0.5
68.999828,39.090000,-0.360000,108.583333,2.066584,15.208423,40.286247,29.139200,4.760000,7.961250,0.5
68.999828,38.850000,-0.360000,107.916667,2.053896,15.208423,40.286247,29.139200,4.760000,7.961250,0.5
68.999828,39.420000,-0.390000,101.076923,2.084031,15.260892,40.447319,29.233158,4.640000,7.841250,0.5
68.999828,39.810000,-0.450000,88.466667,2.104649,15.365492,40.768690,29.420625,4.400000,7.601250,0.5
68.999828,39.840000,-0.480000,83.000000,2.106235,15.417623,40.928990,29.514133,4.280000,7.481250,0.5
68.999828,39.840000,-0.540000,73.777778,2.106235,15.521548,41.248819,29.700700,4.040000,7.241250,0.5
68.999828,39.900000,-0.570000,70.000000,2.109407,15.573342,41.408347,29.793758,3.920000,7.121250,0.5
67.999831,39.870000,-0.630000,63.285714,2.138818,15.406710,41.121078,29.616925,3.680000,6.745000,0.5
67.999831,39.930000,-0.660000,60.500000,2.142037,15.457125,41.277454,29.708144,3.560000,6.625000,0.5
67.999831,39.870000,-0.720000,55.375000,2.138818,15.557616,41.589435,29.890133,3.320000,6.385000,0.5
67.999831,39.870000,-0.780000,51.115385,2.138818,15.657658,41.900387,30.071522,3.080000,6.145000,0.5
67.999831,39.750000,-0.840000,47.321429,2.132381,15.757250,42.210311,30.252311,2.840000,5.905000,0.5
67.999831,39.690000,-0.870000,45.620690,2.129162,15.806877,42.364887,30.342481,2.720000,5.785000,0.5
67.999831,39.510000,-0.960000,41.156250,2.119506,15.955083,42.827073,30.612089,2.360000,5.425000,0.5
67.999831,39.420000,-1.080000,36.500000,2.114678,16.151116,43.439721,30.969467,1.880000,4.945000,0.5
67.999831,39.360000,-1.140000,34.526316,2.111459,16.248458,43.744502,31.147256,1.640000,4.705000,0.5
67.999831,39.150000,-1.230000,31.829268,2.100194,16.393627,44.199744,31.412814,1.280000,4.345000,0.5
